id,prompt,response
1,Develop a C++ function to sum an array of two elements,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
2,Write a C++ program to add n numbers,"// C++ program to write a c++ program to add n numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
3,Develop a C++ function to print an array of two elements,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
4,Write a C++ snippet that uses a loop to compare the first 9 integers,"for (int i = 1; i <= 9; ++i) {
    // TODO: compare logic
}"
5,Develop a C++ function to print an array of even elements,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
6,Write a C++ snippet that uses a loop to subtract the first 19 integers,"for (int i = 1; i <= 19; ++i) {
    // TODO: subtract logic
}"
7,Design a C++ structure to represent a Point with fields title and author,"struct Point {
    // Fields: title and author
};"
8,Construct a C++ algorithm to reverse a number using recursion,"int reverse(int n) {
    if (n <= 1) return n;
    return reverse(n - 1) + reverse(n - 2);
}
int main() {
    cout << reverse(5);
    return 0;
}"
9,Design a C++ structure to represent a Circle with fields title and author,"struct Circle {
    // Fields: title and author
};"
10,Write a C++ program to reverse ten numbers,"// C++ program to write a c++ program to reverse ten numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
11,Write a C++ snippet that uses a loop to subtract the first 18 integers,"for (int i = 1; i <= 18; ++i) {
    // TODO: subtract logic
}"
12,Create a C++ class for Employee with calculateArea functionality,"class Employee {
private:
    int value;
public:
    void calculateArea() {
        // TODO: implement calculateArea logic
    }
};"
13,Generate a C++ template function to print two variables of type T,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
14,Generate a C++ template function to sum two variables of type T,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
15,Construct a C++ algorithm to print a number using recursion,"int print(int n) {
    if (n <= 1) return n;
    return print(n - 1) + print(n - 2);
}
int main() {
    cout << print(5);
    return 0;
}"
16,Write a C++ program to add odd numbers,"// C++ program to write a c++ program to add odd numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
17,Write a C++ snippet that uses a loop to compare the first 20 integers,"for (int i = 1; i <= 20; ++i) {
    // TODO: compare logic
}"
18,Design a C++ structure to represent a Employee with fields id and name,"struct Employee {
    // Fields: id and name
};"
19,Construct a C++ algorithm to search a number using recursion,"int search(int n) {
    if (n <= 1) return n;
    return search(n - 1) + search(n - 2);
}
int main() {
    cout << search(5);
    return 0;
}"
20,Write a C++ program to multiply odd numbers,"// C++ program to write a c++ program to multiply odd numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
21,Design a C++ structure to represent a Employee with fields length and breadth,"struct Employee {
    // Fields: length and breadth
};"
22,Write a C++ snippet that uses a loop to multiply the first 12 integers,"for (int i = 1; i <= 12; ++i) {
    // TODO: multiply logic
}"
23,Write a C++ program to add three numbers,"// C++ program to write a c++ program to add three numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
24,Generate a C++ template function to print two variables of type T,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
25,Construct a C++ algorithm to sum a number using recursion,"int sum(int n) {
    if (n <= 1) return n;
    return sum(n - 1) + sum(n - 2);
}
int main() {
    cout << sum(5);
    return 0;
}"
26,Write a C++ snippet that uses a loop to reverse the first 6 integers,"for (int i = 1; i <= 6; ++i) {
    // TODO: reverse logic
}"
27,Write a C++ program to subtract two numbers,"// C++ program to write a c++ program to subtract two numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
28,Create a C++ class for Employee with withdraw functionality,"class Employee {
private:
    int value;
public:
    void withdraw() {
        // TODO: implement withdraw logic
    }
};"
29,Develop a C++ function to sum an array of three elements,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
30,Generate a C++ template function to print two variables of type T,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
31,Write a C++ snippet that uses a loop to subtract the first 17 integers,"for (int i = 1; i <= 17; ++i) {
    // TODO: subtract logic
}"
32,Construct a C++ algorithm to sum a number using recursion,"int sum(int n) {
    if (n <= 1) return n;
    return sum(n - 1) + sum(n - 2);
}
int main() {
    cout << sum(5);
    return 0;
}"
33,Develop a C++ function to reverse an array of two elements,"void reverseArray(int arr[], int n) {
    // TODO: implement reverse logic
}
int main() {
    int arr[10];
    reverseArray(arr, 10);
    return 0;
}"
34,Create a C++ class for Rectangle with calculateArea functionality,"class Rectangle {
private:
    int value;
public:
    void calculateArea() {
        // TODO: implement calculateArea logic
    }
};"
35,Create a C++ class for Student with calculateArea functionality,"class Student {
private:
    int value;
public:
    void calculateArea() {
        // TODO: implement calculateArea logic
    }
};"
36,Write a C++ program to sort three numbers,"// C++ program to write a c++ program to sort three numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
37,Generate a C++ template function to reverse two variables of type T,"void reverseArray(int arr[], int n) {
    // TODO: implement reverse logic
}
int main() {
    int arr[10];
    reverseArray(arr, 10);
    return 0;
}"
38,Create a C++ class for Product with deposit functionality,"class Product {
private:
    int value;
public:
    void deposit() {
        // TODO: implement deposit logic
    }
};"
39,Construct a C++ algorithm to search a number using recursion,"int search(int n) {
    if (n <= 1) return n;
    return search(n - 1) + search(n - 2);
}
int main() {
    cout << search(5);
    return 0;
}"
40,Write a C++ snippet that uses a loop to count the first 17 integers,"for (int i = 1; i <= 17; ++i) {
    // TODO: count logic
}"
41,Generate a C++ template function to sort two variables of type T,"void sortArray(int arr[], int n) {
    // TODO: implement sort logic
}
int main() {
    int arr[10];
    sortArray(arr, 10);
    return 0;
}"
42,Write a C++ program to add three numbers,"// C++ program to write a c++ program to add three numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
43,Construct a C++ algorithm to sort a number using recursion,"int sort(int n) {
    if (n <= 1) return n;
    return sort(n - 1) + sort(n - 2);
}
int main() {
    cout << sort(5);
    return 0;
}"
44,Develop a C++ function to reverse an array of three elements,"void reverseArray(int arr[], int n) {
    // TODO: implement reverse logic
}
int main() {
    int arr[10];
    reverseArray(arr, 10);
    return 0;
}"
45,Design a C++ structure to represent a Book with fields id and name,"struct Book {
    // Fields: id and name
};"
46,Write a C++ snippet that uses a loop to multiply the first 19 integers,"for (int i = 1; i <= 19; ++i) {
    // TODO: multiply logic
}"
47,Generate a C++ template function to sum two variables of type T,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
48,Write a C++ program to count ten numbers,"// C++ program to write a c++ program to count ten numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
49,Design a C++ structure to represent a Circle with fields title and author,"struct Circle {
    // Fields: title and author
};"
50,Develop a C++ function to search an array of even elements,"void searchArray(int arr[], int n) {
    // TODO: implement search logic
}
int main() {
    int arr[10];
    searchArray(arr, 10);
    return 0;
}"
51,Develop a C++ function to sum an array of n elements,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
52,Write a C++ program to sort odd numbers,"// C++ program to write a c++ program to sort odd numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
53,Generate a C++ template function to reverse two variables of type T,"void reverseArray(int arr[], int n) {
    // TODO: implement reverse logic
}
int main() {
    int arr[10];
    reverseArray(arr, 10);
    return 0;
}"
54,Develop a C++ function to sort an array of even elements,"void sortArray(int arr[], int n) {
    // TODO: implement sort logic
}
int main() {
    int arr[10];
    sortArray(arr, 10);
    return 0;
}"
55,Develop a C++ function to print an array of two elements,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
